old_url,target_url,redirect_expected,final_status_code,canonical_expected,qa_owner
https://www.avatech.info/,https://geniuslab.info/,301,TBD,https://geniuslab.info/,SEO+Dev
https://www.avatech.info/contatti.html,https://geniuslab.info/contatti,301,TBD,https://geniuslab.info/contatti,SEO+Dev
https://www.assistenza-macbook.it/,https://geniuslab.info/,301,TBD,https://geniuslab.info/,SEO+Dev
https://www.assistenza-macbook.it/contattaci/,https://geniuslab.info/contatti,301,TBD,https://geniuslab.info/contatti,SEO+Dev
https://www.assistenza-macbook.it/service/riparazione-macbook/,https://geniuslab.info/servizi/riparazione-macbook,301,TBD,https://geniuslab.info/servizi/riparazione-macbook,SEO+Dev
https://www.assistenza-macbook.it/service/data-recovery/,https://geniuslab.info/servizi/data-recovery,301,TBD,https://geniuslab.info/servizi/data-recovery,SEO+Dev
https://www.assistenza-macbook.it/service/display-macbook/,https://geniuslab.info/servizi/display-macbook,301,TBD,https://geniuslab.info/servizi/display-macbook,SEO+Dev
https://www.apple-assistenza.it/,https://geniuslab.info/,301,TBD,https://geniuslab.info/,SEO+Dev
https://www.apple-assistenza.it/contatti/,https://geniuslab.info/contatti,301,TBD,https://geniuslab.info/contatti,SEO+Dev
https://www.apple-assistenza.it/recensioni/,https://geniuslab.info/recensioni,301,TBD,https://geniuslab.info/recensioni,SEO+Dev
